№;Название объекта культурного наследия;Координата, X;Координата, Y;Адрес;X;Y
1189;Дом Общества гражданских инженеров (клуб и гостиница);92100.04;114117.24;Серпуховская ул., 10, лит. А;30.3226410494; 59.9162880805
1190;Дом Н.Ф.Целибеева. Здесь в 1906-1918 гг. размещалось первое в России высшее техническое учебное заведение для  женщин – Санкт-Петербургские Женские Политехнические курсы,  преобразованные в 1915 г. в Петроградский Женский политехнический институт;92216.17;114056.67;Серпуховская ул., д. 2/68, лит. А;30.3215683933; 59.917333062
1191;Часовня Валаамского монастыря и дома Караваевой;93831.60;117804.41;"Синопская наб., 34, 36; Бакунина пр., 16";30.3887329258; 59.9316521719
1192;Дом с примыкающими флигелями Нижегородского торгового дома Е.Башкирова с сыновьями;94150.80;117976.11;Синопская наб., 52;30.3918373414; 59.9345080822
1193;Дом Короваевой;94374.73;118104.88;Синопская наб., 68, лит. А;30.3941642678; 59.9365111148
1194;Дом Потираловской (Истоминых);94400.55;118116.23;Синопская наб., 70, лит. С;30.3943700282; 59.9367422565
1195;Особняк Шене с участком парка;99019.62;111690.73;Сквозной проезд, 3;30.2797877461; 59.978494466
1196;Воскресенская Армяно-Григорианская церковь;95616.18;110264.87;Смоленки наб.р., 29;30.2540178767; 59.9479981079
1197;Смоленское лютеранское кладбище;95835.26;110287.20;Смоленки р. наб., 27;30.2544324769; 59.9499637199
1198;"Дом-коммуна В.П. Кондратьева ""Порт-Артур""";90766.3313;114395.9215;Смоленская ул., 31/20, лит. А;30.3275048443; 59.9043049388
1199;Императорское Воспитательное общество благородных девиц (Смольный институт);95469.17;118119.16;"Смольного проезд, 1; Смольный пр., 8; Смольная наб.; Пролетарской Диктатуры пл.";30.394536283; 59.9463335157
1200;Смольный монастырь;95739.50;118158.26;"Смольного ул., 1; Растрелли пл., 1; Смольная наб.";30.395264712; 59.9487577722
1201;Здание богадельни в память совершеннолетия цесаревича Николая Александровича (с металлической оградой);95934.40;117971.57;Смольного ул., 2, лит. А;30.3919449011; 59.950517056
1202;Институт Александровский;95938.03;118275.35;"Смольного ул., 3; Смольная наб.";30.3973811172; 59.9505333902
1203;Дом, в котором жил с 1913 г. и умер в 1935 г. географ и путешественник Петр Кузьмич Козлов (кв. 32);95315.73;118107.97;Смольный пр., 6, кв. 32;30.3943197313; 59.9449569115
1204;Дом А.П. Романова;94350.97;116229.12;Солдатский пер., 1/23, лит. А;30.3606112118; 59.9363937687
1205;Центральное училище технического рисования и музей Штиглица А.Л.;95115.32;115093.41;Соляной пер., 13, 15;30.3403676246; 59.9433081724
1206;Церковь Великомученика Пантелеимона;95027.89;115125.45;"Соляной пер., 17; Пестеля ул., 2-а";30.3409327762; 59.9425219596
1207;Дача Граве с участком;106908.39;113103.59;Софийская ул., 11;30.3057434572; 60.0492441425
1208;"Дом № 14 по Социалистической улице, в котором 5 мая 1912 года вышел первый номер газеты ""Правда""";92822.88;115273.17;Социалистическая ул., 14;30.3433710031; 59.9227238669
1209;Дом, в котором в 1919-1958 гг. жил советский скульптор Евсеев Сергей Александрович;92898.69;112252.53;Союза Печатников ул., 17;30.2893703428; 59.9235337563
1210;Храм Святого Станислава;92796.96;112187.18;"Союза Печатников ул., 22; Мастерская ул., 7";30.2881939986; 59.9226232206
1211;Дом, где жили в 1824 г. писатель Грибоедов А.С. и поэт, декабрист Одоевский А.И.;92979.98;112451.55;Союза Печатников ул., 5;30.2929351707; 59.9242555372
1212;Дом Дехтерева;93416.04;113880.42;Спасский пер., 11;30.3185208111; 59.9281102732
1213;Дача Половцова А.А.;99083.93;111551.72;Средней Невки наб.р., 6;30.2773030007; 59.9790769323
1214;Дом с флигелями семьи Брюлловых;95245.86;111842.83;Средний пр. В.О., 17;30.2822238015; 59.9446169402
1215;Лютеранская церковь;95201.87;111911.28;Средний пр. В.О., 18;30.2834450726; 59.9442194802
1216;Дом Аладова;95110.35;111754.09;Средний пр. В.О., 24;30.2806258861; 59.9434040376
1217;Особняк В.И. Турчаниновой;94923.52;111420.76;Средний пр. В.О., 40, лит. А;30.2746486416; 59.9417396591
1218;Братская могила погибших в 1919 г. при защите Петрограда от белогвардейских войск Юденича, и братская могила советских воинов, погибших в годы Великой Отечественной войны 1941-1945 гг.;82419.99;100062.39;ст. Володарская, Воинское кладбище (у пересечения Красносельского и Волхонского шоссе);30.0712117033; 59.8297766277
1219;Палаты Кикина А.В.;95814.61;117678.04;"Ставропольская ул., 9; Шпалерная ул., между домами 62 и 64";30.3866799678; 59.9494573653
1220;Железнодорожная станция Шувалово, в том числе: вокзал, жилой дом, служебный корпус;106675.08;112673.22;Старо-Орловская ул., 2;30.2980005208; 60.0471676977
1221;Дача Строгановых;91133.51;111529.98;Старо-Петергофский пр., 20;30.2763198172; 59.9077177886
1222;"Здание кино-театра ""Москва""";91673.96;111612.41;Старо-Петергофский пр., 6;30.2778334233; 59.9125655946
1223;Калинкинский морской госпиталь;91941.42;111564.97;"Старо-Петергофский пр., 9а; наб. р. Фонтанки, 162";30.2770054731; 59.9149680074
1224;Столб верстовой;92157.73;111699.05;Старо-Петергофский пр., у Старо-Калинкина моста;30.2794184601; 59.91690448
1225;Дом М.Н. Полежаева;93914.15;117527.97;Старорусская ул., 5/3, лит. А;30.3837976746; 59.9324075697
1226;"Церковь Шестаковской иконы Божией Матери подворья Шестаковского Вознесенского женского монастыря; Богадельня подворья Шестаковского Вознесенского монастыря";93950.08;117240.62;"Старорусская ул., 8, 10; Кирилловская ул., 2";30.3786623111; 59.932744903
1227;Овсянниковский сквер (сквер Н.Г. Чернышевского);93769.56;117127.44;"Старорусская ул.; Мытнинская ул.; Бакунина пр.";30.3766197975; 59.9311304282
1228;Ворота Триумфальные Нарвские;90364.78;111396.06;Стачек пл.;30.2738697494; 59.9008229058
1229;Дворец культуры им. Горького А.М., 1925-1927 гг., арх. Гегелло А.И., арх. Дмитриев А.И., арх. Кричевский Д.Л., инж. Райлян В.Ф.;90324.97;111499.40;Стачек пл., 4;30.2757132123; 59.9004617387
1230;Универмаг и фабрика-кухня;90260.02;111329.97;Стачек пл., 9;30.2726811898; 59.8998850588
1231;"Дача Шереметьева ""Ульянка""; Усадьба Воронцова Р.И.; Дача Брюса";84519.14;109268.11;"Стачек пр. (между Дачным пр. и ул. Лени Голикова); Стачек пр., 186 а (между Дачным пр., пр. Стачек и ул. Лени Голикова)";30.2354777231; 59.848427367
1232;Красненькое кладбище;86168.93;110811.06;Стачек пр. 98  (по описанию границы);30.2631197624; 59.8631834302
1233;Историческая трасса Петергофской дороги;84259.39;106402.12;Стачек пр. и Петергофское шоссе;30.1843371243; 59.8461772993
1234;Дача Сиверса (Кировский городок);85170.44;109888.60;Стачек пр., 140, 142, 144, 156, 158, 160, 172;30.2465900888; 59.8542530486
1235;Райсовет Кировский, 1930-1935 гг., арх. Троцкий Н.А.;89658.28;111649.49;Стачек пр., 18;30.2783448877; 59.8944721097
1236;Сад памяти жертв расстрела 1905 года (Сад 9-го Января);89393.39;111563.17;Стачек пр., 20;30.2767831067; 59.8920977834
1237;"Дача Чернышева И.Г.  ""Александрино""";83179.63;108796.13;Стачек пр., 226;30.2269761117; 59.8364189714
1238;Здание Технической школы;89007.12;111351.83;Стачек пр., 30, лит. А;30.2729795783; 59.8886386072
1239;"Дача Дашковой ""Кирьяново""";88719.35;110873.04;Стачек пр., 45;30.2644074507; 59.8860730864
1240;Школа имени 10-летия Октября;90004.46;111462.71;Стачек пр., 5;30.275033902; 59.8975863105
1241;Дворец культуры им. И.И.Газа;87786.22;110730.76;Стачек пр., 72, лит. А;30.2618005887; 59.8777026446
1242;"Трансформаторная подстанция электрифицированной дороги ""ОранЭЛ""";85817.63;110328.04;Стачек пр., 91;30.2544751083; 59.8600471697
1243;Церковь святителя Николая Чудотворца и святой мученицы царицы Александры при Путиловском заводе (с домом для переодевания невест);88448.55;111044.58;Стачек пр., д. 48, лит. А, Б;30.2674515655; 59.8836362883
1244;"Мемориал в память обороны города в 1941-1944 гг. - ""Зеленый пояс Славы  Ленинграда"". ""Кировский вал""";85923.77;110587.36;Стачек пр., у дома 106;30.2591102302; 59.8609908428
1245;Столб верстовой;89198.80;111255.52;Стачек пр., угол Трефолева ул.;30.2712734035; 59.8903626176
1246;Дом, где жили: в 1881-1888 гг. - путешественник Пржевальский Н.М., в 1876-1877 гг. и в 1879-1880 гг. - писатель Успенский Г.И.;93421.08;113485.38;Столярный пер., 6;30.3114571081; 59.9281723664
1247;Братские могилы воинов Советской Армии, погибших в годы Великой Отечественной войны 1941 - 1945 г.г.;98229.19;85515.14;Стрельна, городское кладбище;29.8110353853; 59.9715601358
1248;Собственный дом архитектора А.Ф.Бубыря с флигелем;93709.74;115705.79;Стремянная ул., 11;30.3511899022; 59.9306636002
1249;Дом, в котором с 1869 г. жил и в 1887 г. умер актер Самойлов Василий Васильевич;93768.43;115674.28;Стремянная ул., 8;30.3506319524; 59.9311918747
1250;Памятник полководцу Суворову А.В.;95394.36;114502.03;Суворовская пл.;30.3298125699; 59.9458395654
1251;Николаевская академия Генерального штаба;94758.36;117075.10;Суворовский пр., 32а, лит. А, 32б, лит. А;30.3757840824; 59.9400081132
1252;Училище фельдшериц и лекарских помошниц;93926.65;116612.16;"Суворовский пр., 4; 2-я Советская ул., 6";30.3674203297; 59.9325663692
1253;Особняк с флигелем инженера А.А. Экарева;94663.61;117182.11;Суворовский пр., 41;30.3776886495; 59.9391522186
1254;Здание Академии легкой промышленности им. С.М. Кирова;95145.10;117513.63;Суворовский пр., 50-52, лит. А;30.3836687203; 59.9434567467
1255;Комплекс зданий Петербургского Николаевского военного госпиталя;95049.66;117629.22;Суворовский проспект, дом 63, литеры З, Л, Р, А, У;30.385726703; 59.9425940973
1256;Дом Брюллова А.П. (Сюзора П.Ю.);95285.69;112137.87;"Съездовская линия, 21; Тучков пер., 16";30.2875054494; 59.9449630528
1257;Церковь Святой Великомученицы Екатерины;95439.82;112047.48;"Съездовская линия, между домами 27 и 29; Тучков пер., между домами 22 и 24";30.2859001662; 59.9463499745
1258;Дом И.И. Дернова;95478.91;117232.10;Таврическая ул., 35, лит. А;30.3786662348; 59.9464674077
1259;Дом А.С. Хренова;94924.03;117218.96;Таврическая ул., 5, лит. А;30.3783744263; 59.9414877399
1260;Дом И.Ф. Хреновой;94961.93;117224.31;Таврическая ул., 7, лит. А;30.378474007; 59.9418276383
1261;Доходный дом Обольяниновых;95557.60;117225.30;Таврическая ул., д. 37, лит. А;30.3785526167; 59.9471740407
1262;Народный дом Паниной С.В.;91339.90;115711.82;"Тамбовская ул., 63; Прилукская ул., 24";30.3510731842; 59.9093926023
1263;Молитвенный дом Знамения Пресвятой Богородицы старообрядческой общины Поморского согласия;95555.17;117348.64;Тверская ул., 8;30.3807591896; 59.9471458848
1264;Дача Постельса;98983.00;111516.38;Театральная аллея, 4;30.2766625253; 59.9781723543
1265;Памятник композитору Глинке М.И.;93101.04;112739.86;Театральная пл.;30.2980998924; 59.9253305867
1266;Памятник композитору Римскому-Корсакову Н.А.;93224.31;112683.13;Театральная пл.;30.2970954093; 59.9264392993
1267;Консерватория;93172.95;112738.84;Театральная пл., 3;30.2980874384; 59.9259760654
1268;"Здание амбулатории фабрики ""Красный ткач""";89213.08;121372.52;Тельмана ул., 10, лит. АИ;30.4519804364; 59.8899953259
1269;Лесная молочная ферма Ю.Ю. Бенуа (комплекс с хозяйственными постройками, парком с прудами в границах пр. Науки, Светлановского пр., ул. Веденеева и Тихорецкого пр.);103496.25;116756.15;"Тихорецкий пр., 17, лит. А, Б, Г; Веденеева ул.; Науки пр.; Светлановский пр.";30.3709542429; 60.0184510678
1270;Собор Феодоровской иконы Божией Матери, Преподобного Михаила Малеина и Святого Благоверного князя Александра Невского;93181.52;116686.71;"Товарный пер., 1-б; Полтавская ул., 7";30.3686794485; 59.9258746927
1271;Здание гимназии им. Наследника цесаревича Алексея Николаевича;93524.61;114663.29;Торговый пер., 2а, лит. А;30.3325298533; 59.9290502314
1272;Ансамбль Тракторной улицы;90148.31;111737.88;"Тракторная ул., 1/10, 2/8, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15; Стачек пр., 6, 12; Метростроевцев ул., 2; б/№, северо-западнее дома по Тракторной ул., 12";30.2799608611; 59.8988671229
1273;Сквер на пл. Революции;96153.23;114275.42;Троицкая пл.;30.3258249421; 59.9526609226
1274;Александровская больница для рабочего населения в память 19-го февраля 1861 г. Kомплeкс c тeppиторией, caдом, оградами и постаментом от несохранившегося бюста имп. Александра II;92156.67;113000.21;"Троицкий пр., 1-3; Фонтанки р. наб., 132";30.3026779717; 59.916843675
1275;Дом, в котором в 1895 г. у М.А. Сильвина под руководством Ленина происходили встречи петербургских марксистов;92073.48;112806.31;Троицкий пр., 5;30.2992050982; 59.916104895
1276;Здание мастерских Н.Е. Фрейберга (Глебовой);92004.42;112964.20;"Троицкий пр., 6; 13-я Красноармейская ул., б/н";30.3020218528; 59.9154786087
1277;Дворец Великого князя Николая Николаевича (Ксенинский институт);93929.20;112520.56;"Труда пл., 4; Конногвардейский бульвар, 19-23; Галерная ул., 22, 24, 24-б; Замятин пер., 5-7";30.2942444362; 59.932772639
1278;Квартира, в которой жил композитор и музыковед Асафьев Борис Владимирович в 1933-1943 гг.;93799.71;112548.85;"Труда пл., 6; Конногвардейский бульвар, 6; Якубовича ул., 5; Конногвардейский пер., 1 (кв. 23)";30.2947400898; 59.931609257
1279;Железнодорожная станция Удельная;103290.23;113597.10;"Удельный пр., 2; Скобелевский пр., 20";30.3142923874; 60.0167487022
1280;Дом Л.Р. Шредер;92717.73;111790.31;ул. Володи Ермака, 2/34б;30.2810922914; 59.9219273808
1281;Здание Главного Кригс-Комиссариата (Интендантские склады);93344.51;112633.68;"ул. Глинки, 2, лит.А в кап.конструк.1,2 и 3эт., за исключ.пом.14-Н-21-Н, 22-Н(7-12), 13-Н(6); 26-Н(1-13,22(в части,примыкающ.к ч.п.12)), 27-Н, 28-Н, 47-Н(9-11), 32-Н, 31-Н(1-12,18(в части,примыкающ.к ч.п.12)), 33-Н(7-15,16(в части,примыкающ.к ч.п.7-13))";30.2962207931; 59.9275201569
1282;"Дом Мордвиновых (с фонтаном ""Девушка с кувшином и путти"" и оградой курдонера)";93041.47;112772.91;ул. Глинки, 4, лит. А;30.2986860445; 59.9247945727
1283;Дом Е.Н. Сухомлиной (П.П. Баранова);91702.88;113667.87;"ул. Егорова, 18; 5-я Красноармейская ул., 12-14; 6-я Красноармейская ул., 9-13";30.3145745494; 59.9127427127
1284;Здание Попечительства Императорского человеколюбивого общества для сбора пожертвований на ремесленное образование бедных детей;91433.76;113687.69;ул. Егорова, 26а, лит. А, Б;30.3149059505; 59.9103263451
1285;Триумфальные пилоны в честь защитников Ленинграда в годы Великой Отечественной войны (два);96999.20;123487.05;ул. Коммуны, дом 51, сооружение 1, литера А, дом 50, сооружение 1, литера. А;30.4907788258; 59.9597441889
1286;Жилой дом Степанова В.Ф.;92467.41;115624.13;ул. Константина Заслонова, 8, лит. А, за исключением помещений Л-1 (1, 4, 18), 2-Н (1), 3-Н (1, 2, 24);30.3496123139; 59.9195168401
1287;Дом Клокачева, в котором жили А.С. Пушкин (в 1817-1820 годах) и К.И. Росси (в 1840-х годах);92123.35;112132.02;"ул. Лабутина, 36; наб. р. Фонтанки, 185";30.2871555988; 59.9165792852
1288;Дом Е.С. Мясоедова (Н.В. Оболенской-Нелединской-Мелецкой);95499.52;115704.50;ул. Чайковского, 20, лит. Б1;30.351336583; 59.9467279462
1289;Императорская Николаевская детская больница;98516.41;113510.67;ул. Чапыгина, 13;30.3123389517; 59.9739048528
1290;Особняк А. Нейдгарта;95220.76;116480.02;ул.Салтыкова-Щедрина, 40 (Кирочная ул., 40);30.3651846781; 59.9441882758
1291;Дом М.Ф. Руадзе (А.И. Павловой);93573.26;115277.82;улица Рубинштейна, дом 13, литера А;30.3435237009; 59.9294587527
1292;Набережная Университетская;94586.17;112664.82;Университетская наб. - правый берег р. Большой Невы, от Дворцового моста до моста Лейтенанта Шмидта;30.2968771135; 59.9386635742
1293;Дворец императора Петра II;94748.87;112781.42;Университетская наб., 11;30.2989759591; 59.9401192
1294;Усадьба Меншикова А.Д. (Первый кадетский корпус);94753.08;112543.23;"Университетская наб., 13, 15; Съездовская линия, 1, 3, 5; Филологический пер., 2, 4";30.2947154211; 59.940166566
1295;Академия художеств;94546.90;112234.08;"Университетская наб., 17; 3-я линия В.О., 2; 4-я линия В.О., 1-3";30.2891690692; 59.9383282003
1296;Дом Трезини Д. с флигелем и служебным корпусом;94426.47;112151.15;"Университетская наб., 21; Академический пер., 4";30.2876762979; 59.9372505065
1297;Кунсткамера;94924.19;113076.65;Университетская наб., 3;30.3042715942; 59.9416807392
1298;Академия наук;94857.39;112976.51;"Университетская наб., 5; Менделеевская линия, 1; Биржевой пр., Таможенный пер., 2";30.3024746963; 59.9410852847
1299;Здания Университета;94921.48;112695.03;"Университетская наб., 7-9; Менделеевская линия, 2";30.2974444302; 59.9416719698
1300;Санкт-Петербургский трубочный завод;95898.29;111074.39;Уральская ул., 1, лит. В, М, У, Ч, Щ;30.2685229427; 59.9505015691
1301;"""Уткина дача""";94174.07;119697.75;Уткин пр., 2, 2а;30.4226320203; 59.9346219452
1302;Здание железнодорожной станции «Дача Долгорукова»;94103.98;120858.51;"участок ж.д. ""р.Оккервиль - пр.Косыгина"", литера К";30.4433841647; 59.9339247492
1303;Имения Акционерного общества «Каунис и Тойвола»;123824.17;74015.20;"Ушково пос., Пляжевая ул., 10; Дачная ул.; Пионерская ул., корп.2, 3";29.6023660261; 60.2008274679
1304;Дом призрения душевнобольных имп. Александра III (комплекс построек с территорией, парком);103969.82;113150.76;Фермское шоссе, 36;30.3063459399; 60.0228671348
1305;Удельное земледельческое училище (комплекс с территорией, парком);103350.16;113388.46;Фермское шоссе, 36, корп. 49;30.3105565335; 60.0172954412
1306;Набережные и мосты реки Фонтанки;92802.50;113937.36;Фонтанки р. наб. - по обоим берегам р. Фонтанки, от Дворцовой наб. и Кутузова наб. до Подзорного канала и р. Большой Невы у взморья;30.3194861139; 59.9226009159
1307;Измайловский сад;92420.85;113568.61;Фонтанки р. наб., 114;30.3128609835; 59.9191911628
1308;Дворец Юсуповых;92827.51;113590.27;"Фонтанки р. наб., 115; Садовая ул., 50-а";30.3132825758; 59.922840271
1309;Усадьба Державина Г.Р.;92310.63;113477.14;Фонтанки р. наб., 118;30.3112164967; 59.9182057353
1310;Экспедиция заготовления государственных бумаг;91917.06;112410.29;"Фонтанки р. наб., 144, 144-а; Рижский пр., 3, 5, 7, 9, 11";30.2921136671; 59.9147167827
1311;Елизаветинская клиническая больница с территорией и садом;91902.38;111993.76;Фонтанки р. наб., 152;30.2846671105; 59.914601289
1312;Крестовоздвиженская община сестер милосердия;91988.27;111881.35;"Фонтанки р. наб., 154; Циолковского ул., 1";30.2826643483; 59.9153765266
1313;Доходный дом К.Н. Капустина;92191.20;112552.62;"Фонтанки р. наб., 159; Климов пер., 9";30.2946795881; 59.9171717105
1314;Особняк Кочубея В.П. (комплекс зданий Министерства внутренних дел);94923.34;115133.78;"Фонтанки р. наб., 16; Пестеля ул., 9";30.3410721681; 59.9415831791
1315;Здание Благородного пансиона, где в 1818-1820 гг. учился композитор Глинка М.И. Здесь преподавал декабрист Кюхельбекер В.К., учились декабристы Глебов М.Н. в 1818-1821 гг., Плещеев А.А. в 1818-1820 гг. и др. представители общественной и культурной жизни;91963.29;111487.93;Фонтанки р. наб., 164;30.2756300055; 59.9151671881
1316;Дом Пашковых;94865.83;115176.71;Фонтанки р. наб., 18;30.341834845; 59.941065008
1317;"Дом Неклюдова П.В. (дом Министерства Императорского Двора, ""дом Голицына""). Здесь жили: в 1812-1824 гг. - историк Тургенев А.И. и в 1816-1824 гг. - декабрист Тургенев Н.И.";94816.90;115164.83;Фонтанки р. наб., 20;30.3416178102; 59.9406263834
1318;Дворец Нарышкина Д.П. (Шуваловой С.Л.);94172.32;115226.05;"Фонтанки р. наб., 21; Итальянская ул., 39";30.3426533188; 59.9348380702
1319;Дом, где жили: в 1880-е-1890-е гг. - поэт Полонский Я.П., в 1888-1892 гг. - композитор Чайковский П.И.;94726.41;115226.19;Фонтанки р. наб., 24;30.342707089; 59.9398113395
1320;Дом, где жили: в 1814-1825 гг. - декабристы Муравьевы Н.М. и А.М., в 1814-1816 гг. - живописец Кипренский О.А., в 1816-1818 гг. - историк Карамзин Н.М.;94101.72;115226.06;Фонтанки р. наб., 25;30.3426469668; 59.934204394
1321;Дом Мижуева;94676.08;115249.71;Фонтанки р. наб., 26;30.3431231586; 59.9393585062
1322;Дом Зимина Г. (Шаховской М.А.);94079.46;115191.34;"Фонтанки р. наб., 27; Караванная ул., 26";30.3420239345; 59.9340062079
1323;Дворец Шереметевых;94353.26;115403.76;Фонтанки р. наб., 34;30.345848666; 59.9364538224
1324;Институт Екатерининский;94189.96;115411.58;Фонтанки р. наб., 36;30.3459732846; 59.9349877448
1325;"Дом, где жили: в 1854-1856гг. писатель Тургенев Иван Сергеевич;в 1855-1856гг. писатель Толстой Лев Николаевич;в 1857-1858 гг. революц.демократ, лит.критик и публицист Добролюбов Николай Александрович(кв.31);в 1891-1918гг. композитор Кюи Цезарь Антонович";94077.87;115374.76;Фонтанки р. наб., 38;30.3453042839; 59.9339833968
1326;Дом, где жили: в 1837 г. актриса Асенкова Варвара Николаевна, до 1843 г. издатель Краевский Андрей Александрович (кв. 47), в 1842-1846 гг. революционный демократ, писатель и литературный критик Белинский Виссарион Григорьевич (кв. 55, 48, 47, 43);94044.93;115363.88;"Фонтанки р. наб., 40; Невский пр., 68";30.3451066246; 59.9336882502
1327;Дом Ильиных (Кочневой О.А.);93716.25;115016.68;Фонтанки р. наб., 41;30.338866883; 59.9307542422
1328;Подворье Троице-Сергиевой лавры;93890.13;115290.53;Фонтанки р. наб., 44, лит. А;30.3437803935; 59.9323022535
1329;Дом Дубянских (Зиновьева Н.В., Карловой Н.Ф.);93825.73;115271.99;Фонтанки р. наб., 46;30.3434428488; 59.9317250892
1330;Бывший дом Толстого (фасады);93559.53;115191.35;Фонтанки р. наб., 54;30.3419761143; 59.929339533
1331;Дом, где с 1916 г. жила и в 1955 г. умерла актриса Корчагина-Александровская Екатерина Павловна (кв.20);93541.88;114849.93;"Фонтанки р. наб., 55; Ломоносова пл., 6, кв. 20";30.3358690122; 59.9291967899
1332;"Училище правоведения. Здесь в ХIХ в. учились композиторы Серов А.Н. и Чайковский П.И., музыкальный критик Стасов В.В.; в ноябре 1917 г. состоялся чрезвычайный Всероссийский съезд Советов крестьянских депутатов";95401.68;114994.57;"Фонтанки р. наб., 6; Чайковского ул., 1";30.3386255461; 59.9458829622
1333;Малый театр (театр А.С.Суворина);93356.21;114553.51;Фонтанки р. наб., 65;30.3305516855; 59.9275436715
1334;Особняк Паниных;94443.14;115197.93;"Фонтанки р. наб., 7; Караванная ул., 4";30.342175393; 59.9372701402
1335;Главное казначейство;93335.69;114837.13;Фонтанки р. наб., 70-72;30.3356214372; 59.9273466947
1336;Министерство финансов;93257.46;114799.35;Фонтанки р. наб., 74, 76, 78;30.3349387986; 59.9266462498
1337;Дом Кукановой А. (Кладо Л.М.);93198.60;114328.45;"Фонтанки р. наб., 79; Гороховая ул., 50";30.3265133363; 59.9261390433
1338;Дом Яковлевых (Евментьева А.Ф.);93145.59;114268.19;"Фонтанки р. наб., 81; Гороховая ул., 57";30.3254311736; 59.9256659074
1339;Дом кн. З.Н. Юсуповой с флигелями и фонтаном во дворе;93108.45;114211.90;Фонтанки р. наб., 85;30.3244214164; 59.925335031
1340;Дом Лебедева;93073.25;114203.53;Фонтанки р. наб., 87;30.3242686761; 59.9250194573
1341;Казармы местных войск;93076.81;114496.07;Фонтанки р. наб., 90, корп. 1-3, 8;30.3294997138; 59.9250384567
1342;Дом Устинова К. (Петровых);92971.99;114359.60;"Фонтанки р. наб., 92; Гороховая ул., 59";30.327050328; 59.9241037025
1343;"Дом, где в 1906 г. помещалась типография товарищества ""Дело"", печатавшая газеты ""Волна"", ""Вперед"", ""Новая волна"", ""Эхо""";92923.83;114284.28;Фонтанки р. наб., 96, кв. 54;30.3256993831; 59.9236747672
1344;Дома Полторацкой С.М. (три);92939.41;114042.80;"Фонтанки р. наб., д. 97, лит. А; д. 99, лит. А, Б, В; д. 101, лит. А";30.3213831561; 59.9238251905
1345;Мост Пестеля на Фонтанке;94978.38;114974.88;Фонтанки р. наб., через р. Фонтанку по Пестеля ул.;30.3382345918; 59.9420845069
1346;Приют Сергиевского православного братства;95288.76;115942.06;Фурштатская ул., 19;30.3555667653; 59.9448248817
1347;Дом Зайцевой Н.Н.;95374.23;115861.94;Фурштатская ул., 20;30.3541415153; 59.9455958744
1348;Особняк Кочубея В.С.;95373.71;115929.28;Фурштатская ул., 24;30.3553462716; 59.9455879703
1349;Квартира, в которой в 1873-1883 гг. жил композитор Римский-Корсаков Николай Андреевич;95282.25;116335.41;Фурштатская ул., 33, кв. 9;30.3626035379; 59.9447473123
1350;Дом, где в 1917-1918 гг. находилось центральное бюро петроградских профсоюзов;95372.40;116234.45;Фурштатская ул., 40;30.3608060555; 59.9455614058
1351;Дом, где в 1887-1895 гг. жил писатель Лесков Н.С.;95360.60;116419.23;Фурштатская ул., 50;30.3641108597; 59.9454464193
1352;Дом Варгунина К.А.;95367.94;116451.50;Фурштатская ул., 52;30.3646889347; 59.9455107064
1353;Особняк Спиридонова Н.В.;95359.39;116529.98;Фурштатская ул., 58;30.3660922003; 59.9454300799
1354;Дом Спиридонова Н.В. с флигелем;95358.34;116565.08;Фурштатская ул., 60;30.3667200802; 59.9454189129
1355;Особняк Матавкина (С.С.Боткина) (с оградой);95362.62;116586.12;Фурштатская ул., 62/9, лит. А;30.3670969369; 59.9454562822
1356;Дом, где в 1907 г. жил Бонч-Бруевич В.Д.;93605.12;117074.31;Херсонская ул., 1;30.3756529687; 59.9296571962
1357;Квартира, в которой жил историк академик Бонч-Бруевич Владимир Дмитриевич;93575.16;117123.80;Херсонская ул., 5-7, кв. 9;30.3765349417; 59.9293857669
1358;Александровские ворота Охтинских пороховых заводов;97947.95;122570.59;Химиков ул., 20, соор. 1, лит. А;30.4744970308; 59.9683195351
1359;Бывш. дом Бутурлиной;95546.14;115345.66;Чайковского ул., 10;30.3449205542; 59.9471633134
1360;Особняк А.Д. Строгановой;95445.64;115380.79;"Чайковского ул., 11; Моховая ул., 2";30.3455397292; 59.9462596265
1361;Придворно-прачечный дом с придворно-прачечным заведением;95505.81;114956.57;Чайковского ул., 2/7, лит. А;30.3379551709; 59.9468193297
1362;Новый придворно-служительский дом;95495.94;115095.40;Чайковского ул., 2/7, лит. А;30.3404382206; 59.9467243603
1363;Особняк Кельха А.Ф. (Александрова И.М.) с дворовыми флигелями;95515.52;115897.35;Чайковского ул., 28;30.3547885889; 59.9468623292
1364;Особняк Трубецкого П.Н. (Нарышкиных) с дворовыми флигелями;95431.25;115753.00;"Чайковского ул., 29; Друскенинкский пер., 2";30.3521978507; 59.9461128736
1365;Особняк Кочубея Л.В. (Нечаева-Мальцева Ю.С.) с дворовыми флигелями;95515.67;115938.65;Чайковского ул., 30;30.3555275459; 59.946861688
1366;Дом Челищева (Мануса);95430.89;115798.52;Чайковского ул., 31;30.3530122454; 59.9461074675
1367;Дом Вейнера П.П.;95519.94;116105.92;"Чайковского ул., 38; Чернышевского пр., 9";30.3585207655; 59.9468919216
1368;Дом Кокошкина;95506.66;115242.78;"Чайковского ул., 4; Гагаринская ул., 8";30.3430761403; 59.9468137536
1369;Особняк А.С. Юрьевича;95436.92;115935.76;Чайковского ул., 45, лит. А;30.3554682767; 59.9461550027
